Name,Team,Pos,PA,GROOVE,Damage/BBE,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Whiff vs. Secondaries (%),Z-Swing (%),Zone (%)
Blaze Alexander,BAL,3B,252,0.55,37.9,51.3,16.9,30.3,82.1,30.5,81.8,50.2
Juan Matheus,MIA,SS,4,0.55,0.0,84.6,26.7,20.0,100.0,0.0,30.0,52.6
Adley Rutschman,BOS,C,324,0.54,42.1,66.1,23.8,24.5,91.0,20.6,57.5,47.6
Randal Grichuk,CWS,DH,209,0.53,36.5,55.4,24.0,34.2,88.4,35.2,70.6,49.3
Esmerlyn Valdez,PIT,RF,235,0.53,49.1,62.8,20.8,20.7,71.5,40.7,66.5,46.6
Gabriel Moreno,AZ,C,417,0.52,41.4,64.5,27.8,30.7,92.6,19.1,55.0,47.0
Turner Hill,SF,CF,9,0.52,66.7,74.1,9.1,30.0,77.8,25.0,52.9,45.9
Sal Stewart,CIN,1B,557,0.52,39.8,59.7,19.9,29.9,80.8,23.3,68.0,48.1
Josh Jung,TEX,3B,404,0.51,49.6,59.8,24.5,28.6,91.6,22.9,65.6,48.1
Nathan Martorella,MIA,1B,4,0.51,0.0,81.8,18.2,11.1,100.0,,57.1,46.7
Ryan Jeffers,MIN,C,270,0.5,39.1,64.9,25.7,24.9,91.5,25.3,56.1,48.3
Ketel Marte,AZ,2B,526,0.5,44.4,60.2,21.7,31.3,90.2,28.5,67.6,47.1
Brice Turang,MIL,2B,537,0.5,38.4,61.9,24.2,24.6,85.0,23.4,62.6,49.1
Wilyer Abreu,BOS,RF,550,0.49,35.6,58.8,21.1,30.0,85.1,26.1,68.8,47.2
Gage Workman,SD,3B,41,0.49,26.3,53.3,20.0,42.5,83.9,42.6,80.0,46.7
Carson Benge,NYM,RF,513,0.49,40.5,59.3,24.5,27.5,87.2,26.6,63.7,50.5
Kellon Lindsey,LAD,SS,4,0.47,0.0,66.7,11.1,11.1,83.3,0.0,85.7,50.0
Daniel Vazquez,KC,SS,2,0.47,0.0,66.7,33.3,33.3,100.0,0.0,50.0,50.0
Sam Petersen,WSH,OF,2,0.47,0.0,85.7,14.3,0.0,66.7,,50.0,60.0
Christian Encarnacion-Strand,BAL,3B,92,0.47,31.4,49.5,23.3,50.3,82.3,28.7,72.9,46.0
Luis Castillo,MIL,OF,2,0.47,0.0,100.0,33.3,25.0,100.0,0.0,25.0,50.0
Dillon Lewis,MIA,OF,1,0.47,0.0,100.0,33.3,0.0,100.0,,50.0,50.0
Trent Grisham,NYY,CF,432,0.45,43.2,62.3,25.1,18.6,89.1,27.7,59.9,51.2
Max Muncy,LAD,3B,447,0.45,42.1,61.2,23.2,26.4,83.8,35.2,65.3,48.3
John Rave,KC,RF,67,0.44,40.4,63.4,18.4,29.9,86.3,28.6,60.8,48.6
Pete Crow-Armstrong,CHC,CF,573,0.44,41.5,60.0,22.4,34.2,85.5,28.9,68.1,45.3
